case,dataset,spacing_z,spacing_y,spacing_x,img_min,img_max,img_p001,img_p005,img_p010,img_p050,img_p500,img_p950,img_p990,img_p995,img_p999,tumor_vox,slices_with_tumor,tumor_mean,tumor_std,tumor_p005,tumor_p500,tumor_p995,shell_mean_bg,shell_std_bg,snr_shell,brain_mean_bg,brain_std_bg,snr_brain,raw_mean_bg,raw_std_bg,snr_raw
IOG1,raw_T2,0.5625,0.5625,3.5999999046325684,0.0,1706.0,0.0,0.0,0.0,0.0,29.0,770.0,1024.0,1091.0,1214.0,14434,68,587.2006225585938,135.8431396484375,175.16500000000002,604.0,881.0,416.3896179199219,239.53977966308594,0.7130799104804995,252.63833618164062,331.1269226074219,1.0103747642821668,108.22572326660156,233.1713409423828,2.0541756862407374
IOG10,raw_T2,0.9114583134651184,0.9114583134651184,5.400000095367432,0.0,980.0,0.0,0.0,0.0,0.0,4.0,487.0,553.0,585.0,671.0,52099,84,448.523681640625,40.338134765625,310.49,459.0,526.0,320.8150634765625,150.15237426757812,0.8505267984406303,308.31640625,171.05043029785156,0.8196838508180359,117.8380355834961,181.64813232421875,1.82047369177954
IOG11,raw_T2,0.59375,0.59375,4.025000095367432,0.0,1955.0,0.0,0.0,3.0,11.0,95.0,901.0,1141.0,1217.0,1369.0,59527,84,942.3807983398438,109.54454040527344,461.0,952.0,1155.0,472.7426452636719,327.84375,1.432506043126251,322.97808837890625,303.2196044921875,2.042752845741201,217.2904052734375,283.7562255859375,2.5553285802598458
IOG12,raw_T2,0.8928571343421936,0.8928571343421936,5.199999809265137,0.0,1538.0,0.0,0.0,0.0,0.0,24.0,803.0,953.0,996.0,1083.0,215832,102,737.1347045898438,101.31670379638672,472.0,740.0,967.0,485.4696044921875,283.7024841308594,0.8870740094809121,361.9896240234375,278.2485656738281,1.3482372484398115,171.96261596679688,258.2096252441406,2.188811079713505
IOG14,raw_T2,0.9375,0.9375,3.9000000953674316,0.0,1671.0,0.0,0.0,0.0,1.0,11.0,698.0,860.0,904.0,993.0,13012,57,803.1951904296875,94.02783966064453,346.0,810.0,1007.0,264.64654541015625,213.9201202392578,2.517522168635631,330.0744934082031,265.5123596191406,1.7819159066649242,125.56204223632812,224.01646423339844,3.0249256478191104
IOG15,raw_T2,0.4947916567325592,0.4947916567325592,4.375,0.0,2142.0,0.0,0.0,1.0,3.0,124.0,1005.0,1213.0,1289.0,1512.0,23987,78,938.1024780273438,130.5805206298828,300.79,962.0,1151.0,380.5399169921875,313.3318786621094,1.7794632433057354,430.8644104003906,349.7049560546875,1.450474346573545,279.8866271972656,343.80615234375,1.9144970104315346
IOG16,raw_T2,1.0044642686843872,1.0044642686843872,5.400000095367432,0.0,1622.0,0.0,0.0,0.0,0.0,24.0,850.0,1017.0,1066.0,1179.0,136951,95,876.9437255859375,131.16653442382812,502.0,874.0,1283.25,594.0955810546875,264.0986022949219,1.070994477340665,466.2251892089844,280.0265808105469,1.4667126784468594,227.5359344482422,300.7629089355469,2.1592017228323277
IOG17,raw_T2,0.3515625,0.3515625,5.0,0.0,3063.815185546875,0.0,0.0,0.0,0.0,207.2771453857422,1684.1268310546875,1833.1072998046875,1878.4490966796875,1982.087646484375,78191,98,1693.3310546875,231.38690185546875,524.6702880859375,1761.855712890625,1969.1329345703125,979.3755493164062,660.3218994140625,1.0812234245216206,701.7512817382812,592.8574829101562,1.6725432359930021,475.3107604980469,584.3675537109375,2.0843393621952484
IOG18,raw_T2,0.5625,0.5625,4.375,0.0,1879.0,0.0,0.0,0.0,8.0,38.0,769.0,911.0,966.0,1086.0,113757,142,679.2911987304688,100.38731384277344,389.0,687.0,913.0,319.1407165527344,251.4804229736328,1.4321213473364303,294.5146179199219,290.6278991699219,1.3239492213566837,154.3720245361328,245.12010192871094,2.1414774637577456
IOG19,raw_T2,0.78125,0.78125,5.0,0.0,565.0,0.0,0.0,0.0,0.0,11.0,158.0,265.0,305.0,384.0,25209,64,141.38644409179688,17.13022232055664,58.040000000000006,143.0,184.0,49.5555305480957,42.27272415161133,2.172344351746747,58.805328369140625,67.04971313476562,1.23164010495725,31.280139923095703,54.28639602661133,2.028248552634196
IOG2,raw_T2,0.7226560115814209,0.7226560115814209,6.0,0.0,2384.311767578125,0.0,0.0,0.0,0.0,0.0,1110.0926513671875,1356.282470703125,1829.2655029296875,2033.677734375,25425,64,1089.787109375,60.78352355957031,798.431123046875,1101.1402587890625,1211.552734375,424.0339050292969,338.2998352050781,1.9679383052082247,648.9530029296875,434.37982177734375,1.014858619909092,225.565185546875,399.0651550292969,2.1656160978642176
IOG20,raw_T2,0.59375,0.59375,4.800000190734863,0.0,1792.0,0.0,0.0,0.0,12.0,193.0,926.0,1117.0,1203.0,1362.0,36289,68,752.9547729492188,85.35293579101562,404.0,765.0,943.0,430.6424865722656,291.97564697265625,1.1039012661461383,413.9281005859375,331.17645263671875,1.0237040395356058,344.4644470214844,336.31427001953125,1.214608960553507
IOG21,raw_T2,0.8928571343421936,0.8928571343421936,4.375,0.0,1577.0,0.0,0.0,0.0,1.0,68.0,926.0,1064.0,1099.0,1182.0,47056,86,652.6644897460938,135.1182403564453,283.0,660.0,1008.0,349.4324951171875,255.96661376953125,1.1846544756885056,464.0880432128906,342.8575744628906,0.5500139433367361,244.73773193359375,336.0648498535156,1.2138334550319905
IOG22,raw_T2,0.4296880066394806,0.4296880066394806,6.599999904632568,0.0,3231.68115234375,0.0,0.0,0.0,0.0,27.85931968688965,1535.3580322265625,1730.373291015625,1773.7099609375,1894.4337158203125,241236,212,1588.965087890625,159.3981475830078,872.9253540039062,1625.126953125,1854.1925048828125,550.5233154296875,469.9399108886719,2.209733092252603,645.0601196289062,555.20361328125,1.700105953351503,187.81842041015625,402.7278747558594,3.4791400230983967
IOG24,raw_T2,0.8258928656578064,0.8258928656578064,4.400000095367432,0.0,1464.0,0.0,0.0,0.0,4.0,57.0,589.0,759.0,829.0,940.0,42805,65,589.1331787109375,68.07038116455078,295.0,598.0,710.0,221.42630004882812,160.5360565185547,2.2904940275495678,228.5948028564453,205.10858154296875,1.757792741494641,142.24964904785156,191.1635284423828,2.3377028730549814
